city_name,state_abbr,year,city_key,median_household_income,median_gross_rent,median_home_value,unemployed_population,total_population,commute_total,commute_public_transit,avg_high_temp_c,avg_low_temp_c,annual_precip_mm,snow_days,avg_sunshine_hrs_per_day,city_state,days_with_aqi,good_days,moderate_days,unhealthy_sens_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm25,days_pm10,arrests_per_person,arrests_per_100k
New York City,NY,2024,new_york_city_ny,47213,1081,139600,8334,208772,94493,5309,18.1,8.5,1291.9,17,8.9,"New York City, NY",366.0,164.0,178.0,21.0,3.0,0.0,0.0,156.0,52.0,0.0,18.0,155.0,193.0,0.0,0.0206423533907512,2064.2353390751227
Philadelphia,PA,2024,philadelphia_pa,61953,1397,243100,66252,1579706,726419,121228,19.2,9.3,1127.7,17,8.8,"Philadelphia, PA",366.0,139.0,212.0,15.0,0.0,0.0,0.0,150.0,53.0,0.0,8.0,128.0,230.0,0.0,0.0198994973377123,1989.949733771235
Nashville,TN,2024,nashville_tn,77371,1586,413600,18234,690130,382084,5569,21.8,11.5,1583.0,8,9.0,"Nashville, TN",366.0,172.0,187.0,7.0,0.0,0.0,0.0,133.0,51.0,0.0,3.0,120.0,243.0,0.0,0.0351742292864193,3517.422928641935
Houston,TX,2024,houston_tx,60895,1182,212400,7253,264814,131071,855,26.6,17.7,2103.0,0,9.2,"Houston, TX",366.0,43.0,260.0,46.0,16.0,1.0,0.0,201.0,63.0,0.0,4.0,134.0,213.0,15.0,0.0184525660758215,1845.256607582157
San Antonio,TX,2024,san_antonio_tx,65056,1324,235700,46615,1479835,706519,14399,28.1,17.5,965.0,0,9.5,"San Antonio, TX",366.0,161.0,183.0,20.0,2.0,0.0,0.0,199.0,53.0,0.0,3.0,130.0,230.0,3.0,0.0184525660758215,1845.256607582157
Dallas,TX,2024,dallas_tx,70518,1472,320700,34759,1307930,662654,14110,25.7,15.6,1292.8,0,9.6,"Dallas, TX",366.0,86.0,226.0,44.0,9.0,1.0,0.0,203.0,59.0,0.0,5.0,153.0,207.0,1.0,0.0184525660758215,1845.256607582157
Seattle,WA,2024,seattle_wa,123860,2030,938600,22600,754195,458144,54597,15.3,8.2,1161.6,12,7.6,"Seattle, WA",366.0,211.0,151.0,3.0,1.0,0.0,0.0,166.0,47.0,0.0,1.0,142.0,223.0,0.0,0.0194908319360871,1949.0831936087168
Kansas City,MO,2024,kansas_city_mo,69166,1238,242900,12174,510612,264299,4812,19.9,9.5,1103.3,16,9.5,"Kansas City, MO",366.0,151.0,205.0,10.0,0.0,0.0,0.0,126.0,53.0,0.0,13.0,140.0,175.0,38.0,0.0229343548298777,2293.435482987772
Oklahoma City,OK,2024,oklahoma_city_ok,68656,1130,231300,16781,697125,344459,1290,23.3,13.0,912.4,8,9.9,"Oklahoma City, OK",366.0,149.0,200.0,17.0,0.0,0.0,0.0,147.0,53.0,0.0,5.0,185.0,173.0,3.0,0.0219611815024464,2196.118150244641
Las Vegas,NV,2024,las_vegas_nv,73877,1563,427900,24429,660400,301748,7588,28.0,15.5,91.5,1,11.0,"Las Vegas, NV",366.0,90.0,236.0,39.0,1.0,0.0,0.0,170.0,64.0,0.0,0.0,251.0,102.0,13.0,0.0343508228918824,3435.0822891882467
Washington,DC,2024,washington_dc,109870,1954,737100,25416,681294,373183,75680,19.6,9.8,1257.9,12,8.8,"Washington, DC",366.0,199.0,159.0,8.0,0.0,0.0,0.0,133.0,49.0,0.0,15.0,192.0,159.0,0.0,,
