city_name,state_abbr,year,city_key,median_household_income,median_gross_rent,median_home_value,unemployed_population,total_population,commute_total,commute_public_transit,avg_high_temp_c,avg_low_temp_c,annual_precip_mm,snow_days,avg_sunshine_hrs_per_day,city_state,days_with_aqi,good_days,moderate_days,unhealthy_sens_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm25,days_pm10,arrests_per_person,arrests_per_100k
Birmingham,AL,2021,birmingham_al,39403,906,102900,7870,202234,87751,1601,22.3,12.8,1713.7,3,9.1,"Birmingham, AL",365.0,104.0,256.0,3.0,2.0,0.0,0.0,189.0,56.0,0.0,1.0,47.0,317.0,0.0,0.021344063711251,2134.4063711251006
Phoenix,AZ,2021,phoenix_az,64927,1175,277700,45076,1591119,782966,18829,30.4,16.9,453.5,0,10.8,,,,,,,,,,,,,,,,0.0252657696334374,2526.5769633437426
Los Angeles,CA,2021,los_angeles_ca,69778,1641,705900,162380,3902440,1910620,146743,25.2,12.5,358.3,0,10.6,"Los Angeles, CA",365.0,9.0,258.0,71.0,26.0,1.0,0.0,281.0,80.0,0.0,13.0,148.0,198.0,6.0,0.0279909350041474,2799.093500414745
Denver,CO,2021,denver_co,78177,1495,459100,19715,706799,403262,22085,18.6,3.5,430.0,55,10.2,"Denver, CO",365.0,88.0,207.0,53.0,17.0,0.0,0.0,177.0,64.0,0.0,58.0,221.0,68.0,18.0,0.0271381770104368,2713.8177010436866
Jacksonville,FL,2021,jacksonville_fl,58263,1146,203400,24984,937690,456083,6746,25.2,17.1,1375.3,0,9.2,"Jacksonville, FL",365.0,135.0,230.0,0.0,0.0,0.0,0.0,94.0,53.0,0.0,0.0,44.0,321.0,0.0,,
Atlanta,GA,2021,atlanta_ga,69164,1342,346600,16818,492204,253312,21848,21.6,11.9,1934.9,4,8.8,,,,,,,,,,,,,,,,0.0197766842229384,1977.6684222938447
Chicago,IL,2021,chicago_il,65781,1209,277600,127044,2742119,1352774,316453,15.3,7.4,1142.8,45,8.3,"Chicago, IL",365.0,67.0,270.0,26.0,2.0,0.0,0.0,175.0,61.0,0.0,1.0,83.0,255.0,26.0,0.0157975133259193,1579.7513325919313
New Orleans,LA,2021,new_orleans_la,45594,1079,255500,16123,383974,172457,9456,24.1,17.8,2295.8,0,9.0,"New Orleans, LA",365.0,190.0,172.0,3.0,0.0,0.0,0.0,108.0,49.0,0.0,0.0,97.0,268.0,0.0,0.02373428589927,2373.428589927003
Baltimore,MD,2021,baltimore_md,54124,1146,175300,22274,592211,271624,39122,18.7,9.6,1515.8,19,8.8,"Baltimore, MD",365.0,169.0,181.0,15.0,0.0,0.0,0.0,140.0,52.0,0.0,10.0,152.0,203.0,0.0,0.0131488666959635,1314.8866695963522
Detroit,MI,2021,detroit_mi,34762,899,57700,41729,645658,224558,15041,15.5,6.9,1019.2,54,8.6,"Detroit, MI",365.0,85.0,271.0,9.0,0.0,0.0,0.0,140.0,59.0,0.0,5.0,45.0,307.0,8.0,0.0159328772640258,1593.287726402585
New York City,NY,2021,new_york_city_ny,40083,915,93100,9316,211100,92912,6164,17.1,8.8,1411.6,24,8.6,"New York City, NY",365.0,111.0,233.0,18.0,3.0,0.0,0.0,156.0,55.0,0.0,14.0,87.0,264.0,0.0,0.0116036251011758,1160.3625101175885
Philadelphia,PA,2021,philadelphia_pa,52649,1149,184100,71565,1596865,710964,152058,18.6,9.2,1124.0,20,8.7,"Philadelphia, PA",365.0,98.0,252.0,13.0,2.0,0.0,0.0,153.0,56.0,0.0,8.0,82.0,275.0,0.0,0.0149014600593416,1490.1460059341666
Nashville,TN,2021,nashville_tn,65565,1250,291400,19186,682646,373378,6349,20.6,11.0,2148.4,12,8.6,"Nashville, TN",365.0,138.0,222.0,5.0,0.0,0.0,0.0,133.0,53.0,0.0,6.0,49.0,310.0,0.0,0.0380972560053174,3809.7256005317417
Houston,TX,2021,houston_tx,54060,1000,156400,5670,255537,125224,978,25.0,17.0,2590.5,2,8.3,"Houston, TX",365.0,60.0,275.0,21.0,9.0,0.0,0.0,179.0,59.0,0.0,1.0,92.0,263.0,9.0,0.0185940808074146,1859.4080807414623
San Antonio,TX,2021,san_antonio_tx,55084,1090,167700,42451,1434540,678361,14551,26.6,16.6,1251.2,4,9.1,"San Antonio, TX",365.0,108.0,245.0,12.0,0.0,0.0,0.0,147.0,55.0,0.0,0.0,92.0,272.0,1.0,0.0185940808074146,1859.4080807414623
Dallas,TX,2021,dallas_tx,58231,1178,230000,35746,1300239,649176,19909,24.3,14.7,1633.6,6,9.1,"Dallas, TX",365.0,128.0,206.0,27.0,3.0,1.0,0.0,209.0,54.0,0.0,6.0,153.0,206.0,0.0,0.0185940808074146,1859.4080807414623
Seattle,WA,2021,seattle_wa,105391,1801,767500,20204,726054,438466,78248,15.2,8.3,1311.2,22,7.8,"Seattle, WA",365.0,201.0,157.0,5.0,2.0,0.0,0.0,177.0,48.0,0.0,1.0,149.0,215.0,0.0,0.0157019487752273,1570.1948775227352
Kansas City,MO,2021,kansas_city_mo,60042,1040,175400,14132,502597,259748,6043,18.9,9.3,1160.6,20,9.0,"Kansas City, MO",365.0,113.0,239.0,13.0,0.0,0.0,0.0,147.0,55.0,0.0,0.0,83.0,252.0,30.0,0.0255467459429404,2554.674594294044
Oklahoma City,OK,2021,oklahoma_city_ok,59679,933,168900,15281,673183,332558,1583,21.9,11.8,924.1,8,9.6,"Oklahoma City, OK",365.0,110.0,245.0,10.0,0.0,0.0,0.0,140.0,56.0,0.0,4.0,83.0,278.0,0.0,0.0195174841985297,1951.7484198529744
Las Vegas,NV,2021,las_vegas_nv,61356,1219,302100,24182,634786,285816,8255,27.9,15.6,69.3,1,11.1,"Las Vegas, NV",365.0,87.0,244.0,31.0,3.0,0.0,0.0,183.0,62.0,0.0,1.0,214.0,133.0,17.0,0.0332080372560643,3320.8037256064367
Washington,DC,2021,washington_dc,93547,1681,635900,28493,683154,371014,100595,19.4,9.7,1352.9,20,8.8,"Washington, DC",365.0,153.0,202.0,9.0,1.0,0.0,0.0,153.0,53.0,0.0,11.0,111.0,243.0,0.0,,
Birmingham,AL,2022,birmingham_al,42464,995,123000,7174,200431,86826,1517,23.0,12.4,1413.3,3,9.5,"Birmingham, AL",365.0,128.0,234.0,3.0,0.0,0.0,0.0,105.0,54.0,0.0,0.0,66.0,299.0,0.0,0.029441811074181,2944.1811074181032
Phoenix,AZ,2022,phoenix_az,72092,1322,340200,44211,1609456,799896,17542,30.1,16.4,419.2,0,10.8,,,,,,,,,,,,,,,,0.0276861707511846,2768.617075118468
Los Angeles,CA,2022,los_angeles_ca,76244,1791,822600,164867,3881041,1907021,137398,25.7,12.8,271.5,0,10.5,"Los Angeles, CA",365.0,17.0,254.0,64.0,29.0,1.0,0.0,209.0,74.0,0.0,18.0,173.0,164.0,10.0,0.0200256588334718,2002.565883347189
Denver,CO,2022,denver_co,85853,1665,540400,20305,710800,409324,20009,18.2,2.4,376.7,57,10.1,"Denver, CO",365.0,90.0,239.0,34.0,2.0,0.0,0.0,190.0,60.0,0.0,38.0,230.0,79.0,18.0,0.0283523137175458,2835.2313717545803
Jacksonville,FL,2022,jacksonville_fl,64138,1281,243000,23059,950203,463989,6022,25.6,16.9,1276.6,0,9.7,"Jacksonville, FL",365.0,137.0,228.0,0.0,0.0,0.0,0.0,93.0,53.0,0.0,1.0,53.0,311.0,0.0,,
Atlanta,GA,2022,atlanta_ga,77655,1512,395600,16383,494838,258815,19146,21.9,11.6,1657.9,3,9.1,,,,,,,,,,,,,,,,0.0190609903794835,1906.099037948353
Chicago,IL,2022,chicago_il,71673,1314,304500,123341,2721914,1352496,287011,14.3,5.9,1117.7,49,8.4,"Chicago, IL",365.0,93.0,257.0,12.0,2.0,1.0,0.0,202.0,56.0,0.0,5.0,76.0,264.0,20.0,0.0138607661946304,1386.076619463042
